,,0
0,0.8,0.745708812261
0,1.0,0.749233716475
0,1.2,0.758505747126
0,1.4,0.768965517241
0,1.6,0.778007662835
0,1.8,0.783869731801
0,2.0,0.792375478927
0,2.2,0.79754789272
0,2.4,0.802835249042
0,2.6,0.804750957854
0,2.8,0.806206896552
0,3.0,0.807126436782
0,3.2,0.803869731801
0,3.4,0.798582375479
0,3.6,0.790229885057
0,3.8,0.784712643678
0,4.0,0.775287356322
0,4.2,0.770727969349
0,4.4,0.767816091954
0,4.6,0.763946360153
0,4.8,0.759501915709
0,5.0,0.75245210728
0,5.2,0.744022988506
5,0.8,0.745900383142
5,1.0,0.751302681992
5,1.2,0.761187739464
5,1.4,0.771187739464
5,1.6,0.780344827586
5,1.8,0.786130268199
5,2.0,0.793333333333
5,2.2,0.799118773946
5,2.4,0.803716475096
5,2.6,0.807011494253
5,2.8,0.807203065134
5,3.0,0.807624521073
5,3.2,0.806590038314
5,3.4,0.801800766284
5,3.6,0.793409961686
5,3.8,0.786590038314
5,4.0,0.777739463602
5,4.2,0.7730651341
5,4.4,0.768850574713
5,4.6,0.764904214559
5,4.8,0.759578544061
5,5.0,0.753218390805
5,5.2,0.744367816092
10,0.6,0.743908045977
10,0.8,0.746551724138
10,1.0,0.752605363985
10,1.2,0.76337164751
10,1.4,0.773180076628
10,1.6,0.780957854406
10,1.8,0.787011494253
10,2.0,0.794597701149
10,2.2,0.799770114943
10,2.4,0.804904214559
10,2.6,0.807969348659
10,2.8,0.808888888889
10,3.0,0.807701149425
10,3.2,0.807126436782
10,3.4,0.802873563218
10,3.6,0.795478927203
10,3.8,0.788275862069
10,4.0,0.778812260536
10,4.2,0.774789272031
10,4.4,0.770651340996
10,4.6,0.766666666667
10,4.8,0.76061302682
10,5.0,0.753333333333
10,5.2,0.744712643678
15,0.6,0.74398467433
15,0.8,0.74816091954
15,1.0,0.754827586207
15,1.2,0.765210727969
15,1.4,0.774367816092
15,1.6,0.781647509579
15,1.8,0.786781609195
15,2.0,0.795593869732
15,2.2,0.801379310345
15,2.4,0.806130268199
15,2.6,0.808965517241
15,2.8,0.810191570881
15,3.0,0.809195402299
15,3.2,0.80846743295
15,3.4,0.804367816092
15,3.6,0.798352490421
15,3.8,0.789425287356
15,4.0,0.779885057471
15,4.2,0.776206896552
15,4.4,0.771264367816
15,4.6,0.768659003831
15,4.8,0.760842911877
15,5.0,0.753639846743
15,5.2,0.745363984674
20,0.6,0.744789272031
20,0.8,0.748697318008
20,1.0,0.756398467433
20,1.2,0.767318007663
20,1.4,0.776858237548
20,1.6,0.78367816092
20,1.8,0.787509578544
20,2.0,0.796053639847
20,2.2,0.803256704981
20,2.4,0.808429118774
20,2.6,0.810076628352
20,2.8,0.810229885057
20,3.0,0.810114942529
20,3.2,0.80969348659
20,3.4,0.805747126437
20,3.6,0.799425287356
20,3.8,0.79214559387
20,4.0,0.782413793103
20,4.2,0.777279693487
20,4.4,0.771379310345
20,4.6,0.768122605364
20,4.8,0.761034482759
20,5.0,0.754099616858
20,5.2,0.748390804598
25,0.6,0.745402298851
25,0.8,0.750459770115
25,1.0,0.759310344828
25,1.2,0.770459770115
25,1.4,0.779003831418
25,1.6,0.785670498084
25,1.8,0.789233716475
25,2.0,0.79662835249
25,2.2,0.804597701149
25,2.4,0.809463601533
25,2.6,0.81
25,2.8,0.811494252874
25,3.0,0.811877394636
25,3.2,0.811379310345
25,3.4,0.807356321839
25,3.6,0.801685823755
25,3.8,0.79601532567
25,4.0,0.784367816092
25,4.2,0.778888888889
25,4.4,0.772298850575
25,4.6,0.767816091954
25,4.8,0.763180076628
25,5.0,0.755363984674
25,5.2,0.748199233716
30,0.6,0.746398467433
30,0.8,0.752643678161
30,1.0,0.761724137931
30,1.2,0.772567049808
30,1.4,0.780459770115
30,1.6,0.788582375479
30,1.8,0.791072796935
30,2.0,0.798812260536
30,2.2,0.805747126437
30,2.4,0.81
30,2.6,0.811647509579
30,2.8,0.812796934866
30,3.0,0.81367816092
30,3.2,0.812068965517
30,3.4,0.80846743295
30,3.6,0.805249042146
30,3.8,0.796513409962
30,4.0,0.786206896552
30,4.2,0.77908045977
30,4.4,0.774444444444
30,4.6,0.769885057471
30,4.8,0.767088122605
30,5.0,0.755440613027
30,5.2,0.749578544061
35,0.6,0.747394636015
35,0.8,0.756130268199
35,1.0,0.766168582375
35,1.2,0.775287356322
35,1.4,0.78337164751
35,1.6,0.790421455939
35,1.8,0.792183908046
35,2.0,0.799578544061
35,2.2,0.807088122605
35,2.4,0.811800766284
35,2.6,0.813639846743
35,2.8,0.814291187739
35,3.0,0.815517241379
35,3.2,0.813103448276
35,3.4,0.810536398467
35,3.6,0.807318007663
35,3.8,0.79877394636
35,4.0,0.787624521073
35,4.2,0.780498084291
35,4.4,0.777816091954
35,4.6,0.771034482759
35,4.8,0.767471264368
35,5.0,0.758275862069
35,5.2,0.750727969349
35,5.4,0.743639846743
40,0.6,0.750191570881
40,0.8,0.760421455939
40,1.0,0.770727969349
40,1.2,0.779731800766
40,1.4,0.786666666667
40,1.6,0.791877394636
40,1.8,0.794980842912
40,2.0,0.800229885057
40,2.2,0.808084291188
40,2.4,0.813908045977
40,2.6,0.814980842912
40,2.8,0.816475095785
40,3.0,0.818084291188
40,3.2,0.815478927203
40,3.4,0.812643678161
40,3.6,0.808659003831
40,3.8,0.801915708812
40,4.0,0.791954022989
40,4.2,0.782835249042
40,4.4,0.778390804598
40,4.6,0.772337164751
40,4.8,0.767931034483
40,5.0,0.762068965517
40,5.2,0.751570881226
40,5.4,0.745249042146
45,0.4,0.744482758621
45,0.6,0.753180076628
45,0.8,0.764329501916
45,1.0,0.773103448276
45,1.2,0.782835249042
45,1.4,0.788659003831
45,1.6,0.794022988506
45,1.8,0.796666666667
45,2.0,0.802107279693
45,2.2,0.809731800766
45,2.4,0.815670498084
45,2.6,0.816513409962
45,2.8,0.818582375479
45,3.0,0.819846743295
45,3.2,0.817701149425
45,3.4,0.814329501916
45,3.6,0.810153256705
45,3.8,0.806551724138
45,4.0,0.795440613027
45,4.2,0.784980842912
45,4.4,0.780038314176
45,4.6,0.774597701149
45,4.8,0.768084291188
45,5.0,0.762567049808
45,5.2,0.752260536398
45,5.4,0.746819923372
50,0.4,0.746973180077
50,0.6,0.755785440613
50,0.8,0.768620689655
50,1.0,0.777011494253
50,1.2,0.786130268199
50,1.4,0.791340996169
50,1.6,0.796819923372
50,1.8,0.799885057471
50,2.0,0.804291187739
50,2.2,0.811877394636
50,2.4,0.8169348659
50,2.6,0.818659003831
50,2.8,0.819540229885
50,3.0,0.82091954023
50,3.2,0.819923371648
50,3.4,0.815708812261
50,3.6,0.813486590038
50,3.8,0.808735632184
50,4.0,0.79846743295
50,4.2,0.787777777778
50,4.4,0.780651340996
50,4.6,0.777509578544
50,4.8,0.770459770115
50,5.0,0.764367816092
50,5.2,0.752950191571
50,5.4,0.746858237548
55,0.2,0.744827586207
55,0.4,0.748965517241
55,0.6,0.758659003831
55,0.8,0.771111111111
55,1.0,0.781455938697
55,1.2,0.78846743295
55,1.4,0.794214559387
55,1.6,0.799042145594
55,1.8,0.803295019157
55,2.0,0.807586206897
55,2.2,0.813831417625
55,2.4,0.819655172414
55,2.6,0.821954022989
55,2.8,0.821877394636
55,3.0,0.823524904215
55,3.2,0.82122605364
55,3.4,0.818352490421
55,3.6,0.814444444444
55,3.8,0.81030651341
55,4.0,0.80183908046
55,4.2,0.790191570881
55,4.4,0.782796934866
55,4.6,0.778659003831
55,4.8,0.770881226054
55,5.0,0.764214559387
55,5.2,0.756973180077
55,5.4,0.747049808429
60,0.0,0.744406130268
60,0.2,0.746973180077
60,0.4,0.751800766284
60,0.6,0.761992337165
60,0.8,0.774252873563
60,1.0,0.784291187739
60,1.2,0.791187739464
60,1.4,0.79816091954
60,1.6,0.802567049808
60,1.8,0.807049808429
60,2.0,0.812107279693
60,2.2,0.818007662835
60,2.4,0.822183908046
60,2.6,0.825363984674
60,2.8,0.825325670498
60,3.0,0.825977011494
60,3.2,0.822605363985
60,3.4,0.820229885057
60,3.6,0.81785440613
60,3.8,0.813869731801
60,4.0,0.806245210728
60,4.2,0.79337164751
60,4.4,0.78632183908
60,4.6,0.780804597701
60,4.8,0.775095785441
60,5.0,0.767624521073
60,5.2,0.759042145594
60,5.4,0.748697318008
65,0.0,0.747164750958
65,0.2,0.749961685824
65,0.4,0.754904214559
65,0.6,0.764904214559
65,0.8,0.779272030651
65,1.0,0.787011494253
65,1.2,0.795249042146
65,1.4,0.801915708812
65,1.6,0.805708812261
65,1.8,0.811992337165
65,2.0,0.816398467433
65,2.2,0.82183908046
65,2.4,0.826245210728
65,2.6,0.828544061303
65,2.8,0.828888888889
65,3.0,0.828237547893
65,3.2,0.825555555556
65,3.4,0.823295019157
65,3.6,0.820229885057
65,3.8,0.815785440613
65,4.0,0.811111111111
65,4.2,0.797394636015
65,4.4,0.790229885057
65,4.6,0.781570881226
65,4.8,0.777356321839
65,5.0,0.769003831418
65,5.2,0.761877394636
65,5.4,0.749540229885
70,-0.2,0.743103448276
70,0.0,0.750881226054
70,0.2,0.754904214559
70,0.4,0.759118773946
70,0.6,0.769501915709
70,0.8,0.783639846743
70,1.0,0.792796934866
70,1.2,0.80061302682
70,1.4,0.806091954023
70,1.6,0.81061302682
70,1.8,0.81632183908
70,2.0,0.82183908046
70,2.2,0.824865900383
70,2.4,0.828429118774
70,2.6,0.83122605364
70,2.8,0.832337164751
70,3.0,0.829923371648
70,3.2,0.827356321839
70,3.4,0.824329501916
70,3.6,0.820766283525
70,3.8,0.817586206897
70,4.0,0.813908045977
70,4.2,0.802260536398
70,4.4,0.792567049808
70,4.6,0.784827586207
70,4.8,0.777471264368
70,5.0,0.772298850575
70,5.2,0.761992337165
70,5.4,0.751264367816
70,5.6,0.743180076628
75,-0.2,0.74724137931
75,0.0,0.755134099617
75,0.2,0.758735632184
75,0.4,0.764022988506
75,0.6,0.775134099617
75,0.8,0.789118773946
75,1.0,0.798965517241
75,1.2,0.805517241379
75,1.4,0.81
75,1.6,0.815555555556
75,1.8,0.82214559387
75,2.0,0.825057471264
75,2.2,0.828620689655
75,2.4,0.831264367816
75,2.6,0.834329501916
75,2.8,0.834291187739
75,3.0,0.831302681992
75,3.2,0.827662835249
75,3.4,0.823793103448
75,3.6,0.820804597701
75,3.8,0.818275862069
75,4.0,0.814712643678
75,4.2,0.808352490421
75,4.4,0.795823754789
75,4.6,0.786973180077
75,4.8,0.776819923372
75,5.0,0.774022988506
75,5.2,0.763793103448
75,5.4,0.7569348659
75,5.6,0.745134099617
80,-0.2,0.751647509579
80,0.0,0.75846743295
80,0.2,0.76398467433
80,0.4,0.77030651341
80,0.6,0.782567049808
80,0.8,0.794789272031
80,1.0,0.802911877395
80,1.2,0.809425287356
80,1.4,0.814674329502
