,,bilateral,inconclusive,left,right
0.83,-1.0,7.60104684141e-07,2.64118628803e-06,5.67290927245e-09,0.999996593036
0.84,-1.0,7.67077318673e-07,2.64188539543e-06,5.65843291554e-09,0.999996585379
0.85,-1.0,7.74129969554e-07,2.64259482195e-06,5.64439631647e-09,0.999996577631
0.86,-1.0,7.81263614427e-07,2.64331438037e-06,5.63079973202e-09,0.999996569791
0.87,-1.0,7.88479239814e-07,2.64404387462e-06,5.61764348574e-09,0.999996561859
0.88,-1.0,7.95777841017e-07,2.64478309957e-06,5.60492796897e-09,0.999996553834
0.89,-1.0,8.03160422012e-07,2.64553184089e-06,5.59265364084e-09,0.999996545715
0.9,-1.0,8.10627995329e-07,2.64628987484e-06,5.58082102883e-09,0.999996537501
0.91,-1.0,8.18181581924e-07,2.64705696809e-06,5.56943072844e-09,0.999996529192
0.92,-1.0,8.25822211048e-07,2.64783287753e-06,5.55848340433e-09,0.999996520786
0.93,-1.0,8.33550920095e-07,2.6486173501e-06,5.54797979059e-09,0.999996512284
0.94,-1.0,8.41368754451e-07,2.64941012262e-06,5.53792069095e-09,0.999996503683
0.95,-1.0,8.49276767327e-07,2.65021092158e-06,5.52830697861e-09,0.999996494984
0.96,-1.0,8.57276019582e-07,2.65101946299e-06,5.51913959778e-09,0.999996486185
0.97,-1.0,8.65367579537e-07,2.65183545218e-06,5.51041956332e-09,0.999996477287
0.98,-1.0,8.73552522781e-07,2.65265858366e-06,5.50214796154e-09,0.999996468287
0.99,-1.0,8.81831931953e-07,2.65348854092e-06,5.49432595088e-09,0.999996459185
1.0,-1.0,8.90206896534e-07,2.65432499626e-06,5.48695476167e-09,0.999996449981
1.01,-1.0,8.98678512609e-07,2.65516761067e-06,5.48003570012e-09,0.999996440674
1.02,-1.0,9.07247882622e-07,2.6560160336e-06,5.47357013946e-09,0.999996431263
1.03,-1.0,9.15916115129e-07,2.65686990285e-06,5.46755952983e-09,0.999996421746
1.04,-1.0,9.24684324524e-07,2.65772884442e-06,5.46200539575e-09,0.999996412125
1.05,-1.0,9.33553630763e-07,2.65859247233e-06,5.45690933658e-09,0.999996402397
1.06,-1.0,9.42525159073e-07,2.65946038849e-06,5.45227302712e-09,0.999996392562
1.07,-1.0,9.51600039646e-07,2.66033218258e-06,5.44809821813e-09,0.99999638262
1.08,-1.0,9.60779407324e-07,2.66120743187e-06,5.44438673698e-09,0.999996372569
1.09,-1.0,9.70064401266e-07,2.66208570116e-06,5.44114048821e-09,0.999996362409
1.1,-1.0,9.79456164611e-07,2.66296654257e-06,5.43836145414e-09,0.999996352139
1.11,-1.0,9.88955844116e-07,2.66384949553e-06,5.43605169556e-09,0.999996341759
1.12,-1.0,9.98564589792e-07,2.66473408658e-06,5.43421335236e-09,0.999996331267
1.13,-1.0,1.00828355452e-06,2.66561982931e-06,5.4328486442e-09,0.999996320664
1.14,-1.0,1.01811389365e-06,2.6665062243e-06,5.4319598712e-09,0.999996309948
1.15,-1.0,1.0280567646e-06,2.66739275896e-06,5.43154941432e-09,0.999996299119
1.16,-1.0,1.03811332643e-06,2.66827890753e-06,5.43161973648e-09,0.999996288176
1.17,-1.0,1.04828473942e-06,2.66916413097e-06,5.43217338365e-09,0.999996277119
1.18,-1.0,1.05857216459e-06,2.67004787692e-06,5.43321298528e-09,0.999996265947
1.19,-1.0,1.06897676326e-06,2.67092957967e-06,5.43474125329e-09,0.999996254659
1.2,-1.0,1.07949969658e-06,2.67180866008e-06,5.43676098545e-09,0.999996243255
1.21,-1.0,1.09014212503e-06,2.67268452562e-06,5.43927506551e-09,0.999996231734
1.22,-1.0,1.10090520792e-06,2.67355657032e-06,5.44228646349e-09,0.999996220096
1.23,-1.0,1.11179010287e-06,2.67442417477e-06,5.44579823629e-09,0.99999620834
1.24,-1.0,1.1227979653e-06,2.67528670614e-06,5.44981352935e-09,0.999996196466
1.25,-1.0,1.13392994789e-06,2.67614351822e-06,5.45433557718e-09,0.999996184472
1.26,-1.0,1.1451872e-06,2.67699395146e-06,5.45936770429e-09,0.999996172359
1.27,-1.0,1.15657086713e-06,2.67783733301e-06,5.46491332612e-09,0.999996160127
1.28,-1.0,1.16808209038e-06,2.67867297679e-06,5.4709759499e-09,0.999996147774
1.29,-1.0,1.17972200577e-06,2.6795001836e-06,5.47755917566e-09,0.9999961353
1.3,-1.0,1.19149174375e-06,2.68031824121e-06,5.4846666973e-09,0.999996122705
1.31,-1.0,1.20339242853e-06,2.68112642446e-06,5.49230230355e-09,0.999996109989
1.32,-1.0,1.21542517747e-06,2.6819239954e-06,5.50046987954e-09,0.99999609715
1.33,-1.0,1.22759110048e-06,2.68271020349e-06,5.50917340663e-09,0.99999608419
1.34,-1.0,1.23989129936e-06,2.68348428568e-06,5.51841696442e-09,0.999996071106
1.35,-1.0,1.25232686717e-06,2.68424546669e-06,5.52820473174e-09,0.999996057899
1.36,-1.0,1.26489888758e-06,2.68499295915e-06,5.53854098783e-09,0.99999604457
1.37,-1.0,1.2776084342e-06,2.68572596385e-06,5.54943011386e-09,0.999996031116
1.38,-1.0,1.29045656993e-06,2.68644366999e-06,5.56087659428e-09,0.999996017539
1.39,-1.0,1.30344434632e-06,2.68714525544e-06,5.57288501591e-09,0.999996003838
1.4,-1.0,1.31657280282e-06,2.68782988702e-06,5.5854600725e-09,0.999995990012
1.41,-1.0,1.32984296619e-06,2.68849672079e-06,5.59860656598e-09,0.999995976062
1.42,-1.0,1.34325584975e-06,2.68914490241e-06,5.61232940221e-09,0.999995961987
1.43,-1.0,1.35681245274e-06,2.68977356748e-06,5.62663359886e-09,0.999995947787
1.44,-1.0,1.37051375964e-06,2.69038184186e-06,5.64152428558e-09,0.999995933463
1.45,-1.0,1.38436073945e-06,2.69096884214e-06,5.65700670315e-09,0.999995919013
1.46,-1.0,1.39835434506e-06,2.69153367598e-06,5.67308620701e-09,0.999995904439
1.47,-1.0,1.41249551252e-06,2.69207544258e-06,5.68976826865e-09,0.999995889739
1.48,-1.0,1.42678516042e-06,2.69259323314e-06,5.70705847711e-09,0.999995874915
1.49,-1.0,1.44122418914e-06,2.69308613131e-06,5.72496254048e-09,0.999995859965
1.5,-1.0,1.45581348028e-06,2.69355321372e-06,5.74348628811e-09,0.99999584489
1.51,-1.0,1.47055389593e-06,2.69399355049e-06,5.76263567238e-09,0.99999582969
1.52,-1.0,1.48544627804e-06,2.69440620578e-06,5.78241677062e-09,0.999995814365
1.53,-1.0,1.50049144781e-06,2.69479023833e-06,5.80283578723e-09,0.999995798915
1.54,-1.0,1.515690205e-06,2.69514470212e-06,5.82389905761e-09,0.999995783341
1.55,-1.0,1.53104332737e-06,2.69546864689e-06,5.84561304467e-09,0.999995767642
1.56,-1.0,1.54655157004e-06,2.69576111886e-06,5.8679843468e-09,0.999995751819
1.57,-1.0,1.56221566492e-06,2.69602116133e-06,5.89101969871e-09,0.999995735872
1.58,-1.0,1.57803632013e-06,2.69624781537e-06,5.91472597336e-09,0.999995719801
1.59,-1.0,1.59401421945e-06,2.69644012054e-06,5.9391101845e-09,0.999995703607
